,Unnamed: 0,year_ceremony,category,name,film,winner,single_award,race
623,5408,1997 - 3rd Annual,MALE TV MOVIE OR MINISERIES,ROBERT DUVALL,THE MAN WHO CAPTURED EICHMANN,FALSE,TRUE,White
624,1442,2015 - 21st Annual,MALE ACTOR IN A SUPPORTING ROLE,J.K. SIMMONS,WHIPLASH,TRUE,TRUE,White
625,1443,2015 - 21st Annual,MALE ACTOR IN A TELEVISION MOVIE OR MINISERIES,BILLY BOB THORNTON,FARGO,FALSE,TRUE,White
626,5047,1999 - 5th Annual,MALE SUPPORTING ROLE,BILLY BOB THORNTON,A SIMPLE PLAN,FALSE,TRUE,White
627,5396,1997 - 3rd Annual,MALE LEAD ROLE,BILLY BOB THORNTON,SLING BLADE,FALSE,TRUE,White
628,1444,2015 - 21st Annual,MALE ACTOR IN A TELEVISION MOVIE OR MINISERIES,ADRIEN BRODY,HOUDINI,FALSE,TRUE,White
629,4288,2003 - 9th Annual,MALE LEAD ROLE,ADRIEN BRODY,THE PIANIST,FALSE,TRUE,White
630,1684,2014 - 20th Annual,FEMALE COMEDY SERIES,TINA FEY,30 ROCK,FALSE,TRUE,White
631,1953,2013 - 19th Annual,FEMALE COMEDY SERIES,TINA FEY,30 ROCK,TRUE,TRUE,White
632,2223,2012 - 18th Annual,FEMALE COMEDY SERIES,TINA FEY,30 ROCK,FALSE,TRUE,White
633,2449,2011 - 17th Annual,FEMALE COMEDY SERIES,TINA FEY,30 ROCK,FALSE,TRUE,White
