id,year_film,year_ceremony,ceremony,category,name,film,winner,race,fixed_race
223,1974,1975,47,ACTOR IN A LEADING ROLE,Albert Finney,Murder on the Orient Express,FALSE,white,white
224,1974,1975,47,ACTOR IN A LEADING ROLE,Dustin Hoffman,Lenny,FALSE,white,white
225,1974,1975,47,ACTOR IN A LEADING ROLE,Jack Nicholson,Chinatown,FALSE,white,white
226,1974,1975,47,ACTOR IN A LEADING ROLE,Al Pacino,The Godfather Part II,FALSE,white,white
227,1975,1976,48,ACTOR IN A LEADING ROLE,Walter Matthau,The Sunshine Boys,FALSE,white,white
228,1975,1976,48,ACTOR IN A LEADING ROLE,Jack Nicholson,One Flew over the Cuckoo's Nest,TRUE,white,white
229,1975,1976,48,ACTOR IN A LEADING ROLE,Al Pacino,Dog Day Afternoon,FALSE,white,white
230,1975,1976,48,ACTOR IN A LEADING ROLE,Maximilian Schell,The Man in the Glass Booth,FALSE,white,white
231,1975,1976,48,ACTOR IN A LEADING ROLE,James Whitmore,"Give 'em Hell, Harry!",FALSE,white,white
232,1976,1977,49,ACTOR IN A LEADING ROLE,Robert De Niro,Taxi Driver,FALSE,white,white
233,1976,1977,49,ACTOR IN A LEADING ROLE,Peter Finch,Network,TRUE,white,white
234,1976,1977,49,ACTOR IN A LEADING ROLE,Giancarlo Giannini,Seven Beauties,FALSE,white,white
235,1976,1977,49,ACTOR IN A LEADING ROLE,William Holden,Network,FALSE,white,white
236,1976,1977,49,ACTOR IN A LEADING ROLE,Sylvester Stallone,Rocky,FALSE,white,white
237,1977,1978,50,ACTOR IN A LEADING ROLE,Woody Allen,Annie Hall,FALSE,white,white
238,1977,1978,50,ACTOR IN A LEADING ROLE,Richard Burton,Equus,FALSE,white,white
239,1977,1978,50,ACTOR IN A LEADING ROLE,Richard Dreyfuss,The Goodbye Girl,TRUE,white,white
240,1977,1978,50,ACTOR IN A LEADING ROLE,Marcello Mastroianni,A Special Day,FALSE,white,white
241,1977,1978,50,ACTOR IN A LEADING ROLE,John Travolta,Saturday Night Fever,FALSE,white,white
242,1978,1979,51,ACTOR IN A LEADING ROLE,Warren Beatty,Heaven Can Wait,FALSE,white,white
243,1978,1979,51,ACTOR IN A LEADING ROLE,Gary Busey,The Buddy Holly Story,FALSE,white,white
244,1978,1979,51,ACTOR IN A LEADING ROLE,Robert De Niro,The Deer Hunter,FALSE,white,white
245,1978,1979,51,ACTOR IN A LEADING ROLE,Laurence Olivier,The Boys from Brazil,FALSE,white,white
246,1978,1979,51,ACTOR IN A LEADING ROLE,Jon Voight,Coming Home,TRUE,white,white
247,1979,1980,52,ACTOR IN A LEADING ROLE,Dustin Hoffman,Kramer vs. Kramer,TRUE,white,white
248,1979,1980,52,ACTOR IN A LEADING ROLE,Jack Lemmon,The China Syndrome,FALSE,white,white
249,1979,1980,52,ACTOR IN A LEADING ROLE,Al Pacino,...And Justice for All,FALSE,white,white
250,1979,1980,52,ACTOR IN A LEADING ROLE,Roy Scheider,All That Jazz,FALSE,white,white
251,1979,1980,52,ACTOR IN A LEADING ROLE,Peter Sellers,Being There,FALSE,white,white
252,1980,1981,53,ACTOR IN A LEADING ROLE,Robert De Niro,Raging Bull,TRUE,white,white
253,1980,1981,53,ACTOR IN A LEADING ROLE,Robert Duvall,The Great Santini,FALSE,white,white
254,1980,1981,53,ACTOR IN A LEADING ROLE,John Hurt,The Elephant Man,FALSE,white,white
255,1980,1981,53,ACTOR IN A LEADING ROLE,Jack Lemmon,Tribute,FALSE,white,white
256,1980,1981,53,ACTOR IN A LEADING ROLE,Peter O'Toole,The Stunt Man,FALSE,white,white
257,1981,1982,54,ACTOR IN A LEADING ROLE,Warren Beatty,Reds,FALSE,white,white
258,1981,1982,54,ACTOR IN A LEADING ROLE,Henry Fonda,On Golden Pond,TRUE,white,white
259,1981,1982,54,ACTOR IN A LEADING ROLE,Burt Lancaster,Atlantic City,FALSE,white,white
260,1981,1982,54,ACTOR IN A LEADING ROLE,Dudley Moore,Arthur,FALSE,white,white
