,Unnamed: 0,year_film,year_award,ceremony,category,nominee,film,win,single_award,race
2161,2957,1980,1981,38,Best Performance by an Actress in a Supporting Role in any Motion Picture,Lucie Arnaz,"Jazz Singer, The",False,True,White
2162,2958,1980,1981,38,Best Performance by an Actress in a Supporting Role in any Motion Picture,Beverly D'Angelo,Coal Miner's Daughter,False,True,White
2163,2959,1980,1981,38,Best Performance by an Actress in a Supporting Role in any Motion Picture,Cathy Moriarty,Raging Bull,False,True,White
2164,3040,1980,1981,38,New Star Of The Year - Actress,Cathy Moriarty,Raging Bull,False,True,White
2165,2960,1980,1981,38,Best Performance by an Actress in a Supporting Role in any Motion Picture,Debra Winger,Urban Cowboy,False,True,White
2166,3038,1980,1981,38,New Star Of The Year - Actress,Debra Winger,Urban Cowboy,False,True,White
2167,3192,1982,1983,40,Best Performance by an Actress in a Motion Picture - Drama,Debra Winger,"Officer and a Gentleman, An",False,True,White
2168,3329,1983,1984,41,Best Performance by an Actress in a Motion Picture - Drama,Debra Winger,Terms of Endearment,False,True,White
2169,4598,1993,1994,51,Best Performance by an Actress in a Motion Picture - Drama,Debra Winger,"Dangerous Woman, A",False,True,White
2170,2961,1980,1981,38,Best Performance by an Actor in a Supporting Role in any Motion Picture,Timothy Hutton,Ordinary People,True,True,White
2171,3041,1980,1981,38,New Star Of The Year - Actor,Timothy Hutton,Ordinary People,True,True,White
2172,3068,1981,1982,39,Best Performance by an Actor in a Motion Picture - Drama,Timothy Hutton,Taps,False,True,White
2173,3133,1981,1982,39,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Timothy Hutton,"Long Way Home, A",False,True,White
2174,2963,1980,1981,38,Best Performance by an Actor in a Supporting Role in any Motion Picture,Joe Pesci,Raging Bull,False,True,White
2175,4245,1990,1991,48,Best Performance by an Actor in a Supporting Role in any Motion Picture,Joe Pesci,GoodFellas,False,True,White
2176,7903,2019,2020,77,Best Performance by an Actor in a Supporting Role in any Motion Picture,Joe Pesci,"Irishman, The",False,True,White
2177,2965,1980,1981,38,Best Performance by an Actor in a Supporting Role in any Motion Picture,Scott Wilson,"Ninth Configuration, The",False,True,White
2178,3005,1980,1981,38,Best Performance by an Actress In A Television Series - Drama,Yoko Shimada,Shogun,True,True,Asian
2179,3006,1980,1981,38,Best Performance by an Actress In A Television Series - Drama,Linda Gray,Dallas,False,True,White
2180,3142,1981,1982,39,Best Performance by an Actress In A Television Series - Drama,Linda Gray,Dallas,False,True,White
2181,3009,1980,1981,38,Best Performance by an Actress In A Television Series - Drama,Melissa Gilbert,Little House on the Prairie,False,True,White
2182,3013,1980,1981,38,Best Performance by an Actor In A Television Series - Drama,Larry Hagman,Dallas,False,True,White
2183,3147,1981,1982,39,Best Performance by an Actor In A Television Series - Drama,Larry Hagman,Dallas,False,True,White
2184,3280,1982,1983,40,Best Performance by an Actor In A Television Series - Drama,Larry Hagman,Dallas,False,True,White
2185,3547,1984,1985,42,Best Performance by an Actor In A Television Series - Drama,Larry Hagman,Dallas,False,True,White
2186,3015,1980,1981,38,Best Performance by an Actress in a Television Series - Musical or Comedy,Katherine Helmond,Soap,True,True,White
2187,3683,1985,1986,43,Best Performance by an Actress in a Supporting Role in a Series: Limited Series or Motion Picture Made for Television,Katherine Helmond,Who's the Boss?,False,True,White
2188,4069,1988,1989,46,Best Performance by an Actress in a Supporting Role in a Series: Limited Series or Motion Picture Made for Television,Katherine Helmond,Who's the Boss?,True,True,White
2189,3024,1980,1981,38,Best Performance by an Actor in a Television Series - Musical or Comedy,Wayne Rogers,House Calls,False,True,White
2190,3025,1980,1981,38,Best Performance by an Actress in a Supporting Role in a Series: Limited Series or Motion Picture Made for Television,Valerie Bertinelli,One Day at a Time,True,True,White
2191,3159,1981,1982,39,Best Performance by an Actress in a Supporting Role in a Series: Limited Series or Motion Picture Made for Television,Valerie Bertinelli,One Day at a Time,True,True,White
2192,3296,1982,1983,40,Best Performance by an Actress in a Supporting Role in a Series: Limited Series or Motion Picture Made for Television,Valerie Bertinelli,One Day at a Time,False,True,White
2193,3034,1980,1981,38,Best Performance by an Actor in a Supporting Role in a Series: Limited Series or Motion Picture Made for Television,Geoffrey Lewis,Flo,False,True,White
2194,3039,1980,1981,38,New Star Of The Year - Actress,Nancy Allen,Dressed To Kill,False,True,White
2195,3042,1980,1981,38,New Star Of The Year - Actor,Christopher Atkins,"Blue Lagoon, The",False,True,White
2196,3043,1980,1981,38,New Star Of The Year - Actor,William Hurt,Altered States,False,True,White
2197,3589,1985,1986,43,Best Performance by an Actor in a Motion Picture - Drama,William Hurt,Kiss of the Spider Woman,False,True,White
2198,3716,1986,1987,44,Best Performance by an Actor in a Motion Picture - Drama,William Hurt,Children of a Lesser God,False,True,White
2199,3852,1987,1988,45,Best Performance by an Actor in a Motion Picture - Musical or Comedy,William Hurt,Broadcast News,False,True,White
2200,6724,2009,2010,67,Best Performance by an Actor in a Supporting Role in a Series: Limited Series or Motion Picture Made for Television,William Hurt,Damages,False,True,White
2201,6947,2011,2012,69,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,William Hurt,Too Big To Fail,False,True,White
2202,3044,1980,1981,38,New Star Of The Year - Actor,Michael O'Keefe,"Great Santini, The",False,True,White
2203,3045,1980,1981,38,New Star Of The Year - Actor,Steve Railsback,"Stunt Man, The",False,True,White
2204,3070,1981,1982,39,Best Performance by an Actor in a Motion Picture - Drama,Treat Williams,Prince of the City,False,True,White
2205,3535,1984,1985,42,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Treat Williams,A Streetcar Named Desire (1984),False,True,White
