,Unnamed: 0,year_ceremony,category,name,film,winner,single_award,race
979,4636,2001 - 7th Annual,FEMALE COMEDY SERIES,MEGAN MULLALLY,WILL & GRACE,False,True,White
980,3466,2007 - 13th Annual,FEMALE DRAMA SERIES,CHANDRA WILSON,GREY'S ANATOMY,True,True,Black
981,3476,2007 - 13th Annual,FEMALE SUPPORTING ROLE,ADRIANA BARRAZA,BABEL,False,True,Hispanic
982,3477,2007 - 13th Annual,FEMALE SUPPORTING ROLE,RINKO KIKUCHI,BABEL,False,True,Asian
983,3478,2007 - 13th Annual,FEMALE SUPPORTING ROLE,JENNIFER HUDSON,DREAMGIRLS,True,True,Black
984,3479,2007 - 13th Annual,FEMALE SUPPORTING ROLE,ABIGAIL BRESLIN,LITTLE MISS SUNSHINE,False,True,White
985,3481,2007 - 13th Annual,FEMALE TV MOVIE OR MINISERIES,GRETA SCACCHI,BROKEN TRAIL,False,True,White
986,3483,2007 - 13th Annual,FEMALE TV MOVIE OR MINISERIES,SHIRLEY JONES,HIDDEN PLACES,False,True,White
987,3485,2007 - 13th Annual,FEMALE TV MOVIE OR MINISERIES,CLORIS LEACHMAN,MRS. HARRIS,False,True,White
988,3900,2005 - 11th Annual,FEMALE SUPPORTING ROLE,CLORIS LEACHMAN,SPANGLISH,False,True,White
989,3486,2007 - 13th Annual,LIFE ACHIEVEMENT,JULIE ANDREWS,,True,True,White
990,3490,2007 - 13th Annual,MALE COMEDY SERIES,JASON LEE,MY NAME IS EARL,False,True,White
991,3720,2006 - 12th Annual,MALE COMEDY SERIES,JASON LEE,MY NAME IS EARL,False,True,White
992,3499,2007 - 13th Annual,MALE LEAD ROLE,WILL SMITH,PURSUIT OF HAPPYNESS,False,True,Black
993,3501,2007 - 13th Annual,MALE LEAD ROLE,PETER O'TOOLE,VENUS,False,True,White
994,3502,2007 - 13th Annual,MALE SUPPORTING ROLE,DJIMON HOUNSOU,BLOOD DIAMOND,False,True,Black
